age,education-num,hours-per-week,income
37,9,40, >50K
36,9,50, <=50K
49,4,32, <=50K
27,9,40, <=50K
36,10,44, <=50K
33,13,45, >50K
76,10,8, <=50K
21,10,40, <=50K
26,13,64, >50K
62,9,40, <=50K
48,10,40, >50K
62,4,40, <=50K
43,13,40, >50K
26,9,28, <=50K
23,9,40, <=50K
54,9,50, >50K
27,9,40, <=50K
31,10,40, <=50K
24,13,40, <=50K
53,14,40, >50K
48,2,40, <=50K
40,12,30, <=50K
26,13,40, <=50K
34,13,30, >50K
25,3,40, <=50K
21,9,40, <=50K
38,5,40, <=50K
18,6,11, <=50K
30,9,25, <=50K
44,13,90, <=50K
25,10,40, <=50K
41,13,40, <=50K
40,5,45, <=50K
36,6,40, <=50K
44,16,60, <=50K
30,7,40, <=50K
55,5,25, <=50K
57,9,30, <=50K
24,9,40, <=50K
33,9,40, <=50K
30,10,44, <=50K
24,11,40, <=50K
39,9,50, >50K
37,10,52, <=50K
63,10,30, <=50K
35,9,35, <=50K
39,9,40, >50K
17,7,18, <=50K
24,9,45, <=50K
31,9,40, >50K
50,9,47, <=50K
23,10,20, <=50K
25,9,40, <=50K
50,13,40, >50K
37,13,50, >50K
55,13,40, >50K
55,11,40, <=50K
57,10,40, <=50K
22,9,50, <=50K
59,4,40, <=50K
34,11,40, <=50K
50,9,45, <=50K
30,9,73, >50K
29,9,60, <=50K
24,10,40, >50K
34,10,38, <=50K
49,9,40, <=50K
54,10,30, <=50K
31,10,40, <=50K
25,10,40, <=50K
46,10,60, >50K
47,10,40, >50K
53,13,40, >50K
67,14,30, >50K
46,13,45, >50K
39,13,45, >50K
20,3,30, <=50K
46,12,50, <=50K
51,9,40, <=50K
20,7,20, <=50K
51,13,50, <=50K
31,9,55, >50K
70,11,50, >50K
34,9,40, <=50K
33,13,40, <=50K
50,14,40, <=50K
33,9,16, <=50K
35,9,40, <=50K
40,11,40, <=50K
37,13,80, >50K
25,10,40, <=50K
18,7,12, <=50K
32,11,44, <=50K
29,11,40, <=50K
27,9,40, >50K
19,9,40, <=50K
63,9,48, <=50K
44,13,40, <=50K
60,10,16, >50K
24,9,40, <=50K
57,6,30, <=50K
30,9,40, <=50K
47,13,57, >50K
40,11,40, <=50K
47,12,40, <=50K
17,7,45, <=50K
46,13,51, <=50K
60,10,50, >50K
24,10,40, <=50K
34,9,40, <=50K
42,9,40, <=50K
30,5,40, <=50K
42,13,40, <=50K
38,13,40, >50K
35,9,40, <=50K
49,9,40, <=50K
63,10,18, >50K
34,13,30, <=50K
47,9,50, <=50K
53,9,40, <=50K
63,9,40, <=50K
44,13,40, >50K
36,13,50, >50K
39,13,40, >50K
47,13,40, <=50K
33,9,40, <=50K
52,9,40, <=50K
64,9,20, <=50K
26,9,50, <=50K
26,13,40, <=50K
62,13,50, >50K
35,13,50, <=50K
45,10,40, <=50K
39,9,40, <=50K
23,8,40, <=50K
36,13,50, >50K
35,12,40, >50K
51,9,40, >50K
36,14,50, >50K
41,15,60, >50K
52,10,60, <=50K
30,10,40, <=50K
27,9,40, <=50K
24,10,39, <=50K
20,7,40, <=50K
66,6,40, <=50K
29,9,35, <=50K
58,13,40, <=50K
49,10,65, <=50K
48,9,50, >50K
17,6,30, <=50K
46,9,36, <=50K
50,16,50, >50K
54,10,28, <=50K
22,10,40, <=50K
31,12,40, >50K
34,5,40, <=50K
59,10,40, <=50K
35,10,50, <=50K
29,9,40, <=50K
59,6,40, <=50K
23,12,44, <=50K
46,15,48, <=50K
34,9,55, <=50K
37,9,40, <=50K
52,9,50, >50K
53,14,40, >50K
22,10,55, >50K
27,9,40, <=50K
20,11,30, <=50K
53,9,40, <=50K
37,10,40, <=50K
38,13,70, <=50K
52,12,40, >50K
59,6,40, <=50K
20,9,40, <=50K
59,4,70, <=50K
24,9,50, <=50K
28,13,40, <=50K
23,10,30, <=50K
31,12,40, <=50K
55,16,70, >50K
25,9,40, <=50K
48,9,15, <=50K
37,13,40, >50K
37,9,40, <=50K
35,9,60, <=50K
42,9,40, <=50K
27,9,40, <=50K
42,10,60, <=50K
29,13,40, >50K
51,11,57, <=50K
34,8,35, <=50K
48,9,40, <=50K
30,13,40, <=50K
49,13,40, <=50K
37,10,30, <=50K
